,N,BioCLIP v1,,,BioCLIP 2,,
,,precision,recall,f1-score,precision,recall,f1-score
Araneae,564,0.535,0.943,0.682,0.931,0.98,0.955
Blattodea,23,0.364,0.348,0.356,0.122,0.826,0.212
Coleoptera,1143,0.126,0.612,0.209,0.325,0.566,0.413
Diptera,31914,0.972,0.743,0.842,0.987,0.842,0.909
Hemiptera,775,0.082,0.305,0.129,0.123,0.619,0.205
Hymenoptera,3326,0.802,0.526,0.635,0.898,0.795,0.843
Ixodida,1,0,0,0,0,0,0
Lepidoptera,1744,0.908,0.944,0.926,0.867,0.985,0.922
Mecoptera,34,0.15,0.088,0.111,1,0.059,0.111
Neuroptera,115,0.11,0.07,0.085,0.293,0.104,0.154
Orthoptera,8,0.101,1,0.184,0.05,1,0.095
Plecoptera,54,0.7,0.778,0.737,0.86,0.907,0.883
Raphidioptera,2,0.167,1,0.286,1,1,1
Trichoptera,85,0.388,0.976,0.555,0.802,0.812,0.807
macro avg,39788,0.386,0.595,0.41,0.59,0.678,0.536
weighted avg,,0.901,0.722,0.79,0.934,0.832,0.873
