label,n,n_misclassified,n_rescued,n_damaged,net,original_error_rate,new_error_rate
Araneae,564,32,2,109,-107,0.05673758865248227,0.24645390070921985
Blattodea,23,15,7,1,6,0.6521739130434783,0.391304347826087
Coleoptera,1142,442,129,347,-218,0.38704028021015763,0.5779334500875657
Diptera,31911,8197,3495,7057,-3562,0.25687067155526305,0.36849362288865906
Hemiptera,775,539,16,213,-197,0.6954838709677419,0.9496774193548387
Hymenoptera,3324,1577,83,1229,-1146,0.47442839951865223,0.8191937424789411
Ixodida,1,1,0,0,0,1.0,1.0
Lepidoptera,1744,98,38,78,-40,0.05619266055045872,0.07912844036697247
Mecoptera,34,31,0,2,-2,0.9117647058823529,0.9705882352941176
Neuroptera,115,107,0,6,-6,0.9304347826086956,0.9826086956521739
Orthoptera,8,0,0,0,0,0.0,0.0
Plecoptera,54,12,0,41,-41,0.2222222222222222,0.9814814814814815
Raphidioptera,2,0,0,2,-2,0.0,1.0
Trichoptera,85,2,1,77,-76,0.023529411764705882,0.9176470588235294
