label,n,n_misclassified,n_rescued,n_damaged,net,original_error_rate,new_error_rate
Araneae,564,32.0,6,6,0,0.05673758865248227,0.05673758865248227
Blattodea,23,15.0,4,0,4,0.6521739130434783,0.4782608695652174
Coleoptera,1143,443.0,61,86,-25,0.38757655293088367,0.4094488188976378
Diptera,31914,8197.0,925,1766,-841,0.25684652503603433,0.28319859622736104
Hemiptera,775,539.0,51,45,6,0.6954838709677419,0.687741935483871
Hymenoptera,3326,1578.0,117,279,-162,0.4744437763078773,0.5231509320505111
Ixodida,1,1.0,0,0,0,1.0,1.0
Lepidoptera,1744,98.0,31,13,18,0.05619266055045872,0.045871559633027525
Mecoptera,34,31.0,2,1,1,0.9117647058823529,0.8823529411764706
Neuroptera,115,107.0,0,0,0,0.9304347826086956,0.9304347826086956
Orthoptera,8,0.0,0,0,0,0.0,0.0
Plecoptera,54,12.0,1,6,-5,0.2222222222222222,0.3148148148148148
Raphidioptera,2,0.0,0,1,-1,0.0,0.5
Trichoptera,85,2.0,2,8,-6,0.023529411764705882,0.09411764705882353
