label,n,n_misclassified,n_rescued,n_damaged,net,original_error_rate,new_error_rate
Araneae,564,32,4,30,-26,0.05673758865248227,0.10283687943262411
Blattodea,23,15,0,5,-5,0.6521739130434783,0.8695652173913043
Coleoptera,1142,442,114,157,-43,0.38704028021015763,0.4246935201401051
Diptera,31911,8197,2858,2317,541,0.25687067155526305,0.23991726990692863
Hemiptera,775,539,91,111,-20,0.6954838709677419,0.7212903225806452
Hymenoptera,3324,1577,501,269,232,0.47442839951865223,0.404632972322503
Ixodida,1,1,0,0,0,1.0,1.0
Lepidoptera,1744,98,23,84,-61,0.05619266055045872,0.0911697247706422
Mecoptera,34,31,2,0,2,0.9117647058823529,0.8529411764705882
Neuroptera,115,107,1,2,-1,0.9304347826086956,0.9391304347826087
Orthoptera,8,0,0,0,0,0.0,0.0
Plecoptera,54,12,2,6,-4,0.2222222222222222,0.2962962962962963
Raphidioptera,2,0,0,1,-1,0.0,0.5
Trichoptera,85,2,1,19,-18,0.023529411764705882,0.23529411764705882
