,coef,std_err,z,p_value,odds_ratio,or_ci_lower,or_ci_upper
const,-1.252,0.024,-52.083,0,0.286,0.273,0.3
width_px,-0.674,0.018,-37.89,0,0.51,0.492,0.528
blur_score,-0.494,0.015,-32.541,0,0.61,0.592,0.629
day_night_twilight_twilight,0.476,0.142,3.35,0.001,1.609,1.218,2.125
site_Weissfluhjoch,0.167,0.029,5.708,0,1.182,1.116,1.251
day_night_twilight_night,0.161,0.028,5.693,0,1.175,1.111,1.241
altitude,-0.108,0.014,-7.974,0,0.898,0.874,0.922
blur,0.083,0.012,7.128,0,1.087,1.062,1.112
site_Monstein,0.037,0.031,1.212,0.225,1.038,0.977,1.102
shadow,0.028,0.015,1.901,0.057,1.029,0.999,1.059
