Model3,coef,std_err,z,p_value,odds_ratio,or_ci_lower,or_ci_upper
const,-1.374,0.031,-44.05,0,0.253,0.238,0.269
top_1_rank_score,-1.275,0.017,-74.335,0,0.279,0.27,0.289
colorfulness,-0.64,0.053,-12.167,0,0.527,0.475,0.584
day_night_twilight_twilight,0.53,0.176,3.014,0.003,1.698,1.204,2.397
saturation_mean,0.489,0.041,11.982,0,1.631,1.505,1.767
dynamic_range,0.409,0.037,10.955,0,1.505,1.399,1.619
brightness_mean,0.284,0.028,10.011,0,1.328,1.256,1.404
width_px,-0.246,0.018,-13.315,0,0.782,0.754,0.811
day_night_twilight_night,-0.231,0.035,-6.549,0,0.794,0.741,0.85
edge_density,-0.217,0.024,-9.034,0,0.805,0.768,0.844
blur_score,0.11,0.023,4.86,0,1.116,1.068,1.166
site_Monstein,-0.098,0.039,-2.537,0.011,0.907,0.84,0.978
site_Weissfluhjoch,0.092,0.038,2.439,0.015,1.097,1.018,1.181
altitude,-0.071,0.016,-4.536,0,0.932,0.904,0.961
overexposed_pct,0.067,0.017,3.849,0,1.069,1.033,1.106
underexposed_pct,-0.062,0.022,-2.83,0.005,0.94,0.9,0.981
distinct_hues,-0.042,0.027,-1.547,0.122,0.959,0.909,1.011
shadow,0.032,0.019,1.728,0.084,1.033,0.996,1.071
blur,0.019,0.014,1.301,0.193,1.019,0.991,1.048
