method,class,support_total,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,trained_in_lora
frozen_linear_probe,Araneae,564,0.9856,0.0057,0.9982,0.0031,0.9734,0.0141,True
frozen_linear_probe,Blattodea,23,0.9045,0.0414,1.0,0.0,0.8274,0.0676,False
frozen_linear_probe,Coleoptera,1143,0.823,0.028,0.8995,0.0021,0.7594,0.0467,True
frozen_linear_probe,Diptera,31913,0.9827,0.0008,0.9736,0.0007,0.9921,0.001,True
frozen_linear_probe,Hemiptera,775,0.7356,0.0175,0.8601,0.0201,0.6425,0.0181,True
frozen_linear_probe,Hymenoptera,3326,0.9252,0.0024,0.9402,0.0078,0.9107,0.0054,True
frozen_linear_probe,Ixodida,0,0.0,0.0,0.0,0.0,0.0,0.0,False
frozen_linear_probe,Lepidoptera,1744,0.9844,0.0031,0.9896,0.0035,0.9794,0.003,True
frozen_linear_probe,Mecoptera,34,0.2366,0.0705,0.8,0.3464,0.1465,0.0487,False
frozen_linear_probe,Neuroptera,115,0.541,0.1117,0.7692,0.1198,0.4184,0.0994,True
frozen_linear_probe,Orthoptera,8,1.0,0.0,1.0,0.0,1.0,0.0,False
frozen_linear_probe,Plecoptera,54,0.9141,0.0049,0.9453,0.0528,0.8889,0.0556,True
frozen_linear_probe,Raphidioptera,0,0.0,0.0,0.0,0.0,0.0,0.0,False
frozen_linear_probe,Trichoptera,85,0.8716,0.0702,0.9403,0.065,0.8222,0.1298,True
lora_linear_probe,Araneae,564,0.992,0.0027,0.993,0.0061,0.9911,0.0081,True
lora_linear_probe,Blattodea,23,0.7302,0.1099,0.8381,0.1466,0.6488,0.0916,False
lora_linear_probe,Coleoptera,1143,0.8996,0.0041,0.91,0.0163,0.8898,0.0139,True
lora_linear_probe,Diptera,31913,0.9901,0.0005,0.9879,0.0011,0.9923,0.0008,True
lora_linear_probe,Hemiptera,775,0.8885,0.0088,0.904,0.0148,0.8735,0.0062,True
lora_linear_probe,Hymenoptera,3326,0.9486,0.0023,0.9535,0.0039,0.9438,0.0051,True
lora_linear_probe,Ixodida,0,0.0,0.0,0.0,0.0,0.0,0.0,False
lora_linear_probe,Lepidoptera,1744,0.9888,0.0038,0.9908,0.0027,0.9868,0.0052,True
lora_linear_probe,Mecoptera,34,0.0556,0.0962,0.3333,0.5774,0.0303,0.0525,False
lora_linear_probe,Neuroptera,115,0.671,0.0516,0.7131,0.0814,0.6352,0.0394,True
lora_linear_probe,Orthoptera,8,1.0,0.0,1.0,0.0,1.0,0.0,False
lora_linear_probe,Plecoptera,54,0.8766,0.0101,0.9057,0.0551,0.8518,0.0321,True
lora_linear_probe,Raphidioptera,0,0.0,0.0,0.0,0.0,0.0,0.0,False
lora_linear_probe,Trichoptera,85,0.9017,0.0164,0.8974,0.0889,0.9175,0.0901,True
