method,fold,class,precision,recall,f1,support,trained_in_lora
frozen_linear_probe,0,Araneae,1.0,0.9894,0.9947,188,True
frozen_linear_probe,0,Blattodea,0.875,0.875,0.875,8,False
frozen_linear_probe,0,Coleoptera,0.9251,0.811,0.8643,381,True
frozen_linear_probe,0,Diptera,0.9824,0.9951,0.9887,10638,True
frozen_linear_probe,0,Hemiptera,0.9178,0.7791,0.8428,258,True
frozen_linear_probe,0,Hymenoptera,0.952,0.9306,0.9412,1109,True
frozen_linear_probe,0,Ixodida,0.0,0.0,0.0,0,False
frozen_linear_probe,0,Lepidoptera,0.9863,0.988,0.9871,581,True
frozen_linear_probe,0,Mecoptera,0.5,0.0833,0.1429,12,False
frozen_linear_probe,0,Neuroptera,0.8929,0.6579,0.7576,38,True
frozen_linear_probe,0,Orthoptera,1.0,1.0,1.0,3,False
frozen_linear_probe,0,Plecoptera,1.0,0.8333,0.9091,18,True
frozen_linear_probe,0,Raphidioptera,0.0,0.0,0.0,0,False
frozen_linear_probe,0,Trichoptera,0.9565,0.7857,0.8627,28,True
lora_linear_probe,0,Araneae,0.0,0.0,0.0,188,True
lora_linear_probe,0,Blattodea,0.0,0.0,0.0,8,False
lora_linear_probe,0,Coleoptera,0.0,0.0,0.0,381,True
lora_linear_probe,0,Diptera,0.8322,0.9967,0.9071,10638,True
lora_linear_probe,0,Hemiptera,0.0,0.0,0.0,258,True
lora_linear_probe,0,Hymenoptera,0.0,0.0,0.0,1109,True
lora_linear_probe,0,Ixodida,0.0,0.0,0.0,0,False
lora_linear_probe,0,Lepidoptera,0.9194,0.8244,0.8693,581,True
lora_linear_probe,0,Mecoptera,0.0,0.0,0.0,12,False
lora_linear_probe,0,Neuroptera,0.0,0.0,0.0,38,True
lora_linear_probe,0,Orthoptera,0.0,0.0,0.0,3,False
lora_linear_probe,0,Plecoptera,0.0,0.0,0.0,18,True
lora_linear_probe,0,Raphidioptera,0.0,0.0,0.0,0,False
lora_linear_probe,0,Trichoptera,0.0,0.0,0.0,28,True
frozen_linear_probe,1,Araneae,1.0,0.984,0.992,188,True
frozen_linear_probe,1,Blattodea,1.0,0.875,0.9333,8,False
frozen_linear_probe,1,Coleoptera,0.9069,0.7927,0.8459,381,True
frozen_linear_probe,1,Diptera,0.9822,0.9919,0.987,10638,True
frozen_linear_probe,1,Hemiptera,0.9079,0.7992,0.8501,259,True
frozen_linear_probe,1,Hymenoptera,0.9394,0.9377,0.9386,1108,True
frozen_linear_probe,1,Ixodida,0.0,0.0,0.0,0,False
frozen_linear_probe,1,Lepidoptera,0.993,0.9811,0.987,581,True
frozen_linear_probe,1,Mecoptera,0.5,0.0909,0.1538,11,False
frozen_linear_probe,1,Neuroptera,0.7333,0.5789,0.6471,38,True
frozen_linear_probe,1,Orthoptera,1.0,1.0,1.0,2,False
frozen_linear_probe,1,Plecoptera,1.0,1.0,1.0,18,True
frozen_linear_probe,1,Raphidioptera,0.0,0.0,0.0,0,False
frozen_linear_probe,1,Trichoptera,0.8485,0.9655,0.9032,29,True
lora_linear_probe,1,Araneae,0.0,0.0,0.0,188,True
lora_linear_probe,1,Blattodea,0.0,0.0,0.0,8,False
lora_linear_probe,1,Coleoptera,0.0,0.0,0.0,381,True
lora_linear_probe,1,Diptera,0.8348,0.9987,0.9094,10638,True
lora_linear_probe,1,Hemiptera,0.0,0.0,0.0,259,True
lora_linear_probe,1,Hymenoptera,0.0,0.0,0.0,1108,True
lora_linear_probe,1,Ixodida,0.0,0.0,0.0,0,False
lora_linear_probe,1,Lepidoptera,0.9569,0.8795,0.9166,581,True
lora_linear_probe,1,Mecoptera,0.0,0.0,0.0,11,False
lora_linear_probe,1,Neuroptera,0.0,0.0,0.0,38,True
lora_linear_probe,1,Orthoptera,0.0,0.0,0.0,2,False
lora_linear_probe,1,Plecoptera,0.0,0.0,0.0,18,True
lora_linear_probe,1,Raphidioptera,0.0,0.0,0.0,0,False
lora_linear_probe,1,Trichoptera,0.0,0.0,0.0,29,True
frozen_linear_probe,2,Araneae,0.9894,0.9947,0.992,188,True
frozen_linear_probe,2,Blattodea,1.0,1.0,1.0,7,False
frozen_linear_probe,2,Coleoptera,0.9056,0.8556,0.8799,381,True
frozen_linear_probe,2,Diptera,0.9834,0.9941,0.9887,10637,True
frozen_linear_probe,2,Hemiptera,0.9128,0.7713,0.8361,258,True
frozen_linear_probe,2,Hymenoptera,0.9475,0.9279,0.9376,1109,True
frozen_linear_probe,2,Ixodida,0.0,0.0,0.0,0,False
frozen_linear_probe,2,Lepidoptera,0.9861,0.9777,0.9819,582,True
frozen_linear_probe,2,Mecoptera,1.0,0.0909,0.1667,11,False
frozen_linear_probe,2,Neuroptera,0.7778,0.5385,0.6364,39,True
frozen_linear_probe,2,Orthoptera,1.0,1.0,1.0,3,False
frozen_linear_probe,2,Plecoptera,0.9412,0.8889,0.9143,18,True
frozen_linear_probe,2,Raphidioptera,0.0,0.0,0.0,0,False
frozen_linear_probe,2,Trichoptera,0.9565,0.7857,0.8627,28,True
lora_linear_probe,2,Araneae,0.0,0.0,0.0,188,True
lora_linear_probe,2,Blattodea,0.0,0.0,0.0,7,False
lora_linear_probe,2,Coleoptera,0.0,0.0,0.0,381,True
lora_linear_probe,2,Diptera,0.8307,0.9952,0.9056,10637,True
lora_linear_probe,2,Hemiptera,0.0,0.0,0.0,258,True
lora_linear_probe,2,Hymenoptera,0.0,0.0,0.0,1109,True
lora_linear_probe,2,Ixodida,0.0,0.0,0.0,0,False
lora_linear_probe,2,Lepidoptera,0.888,0.7904,0.8364,582,True
lora_linear_probe,2,Mecoptera,0.0,0.0,0.0,11,False
lora_linear_probe,2,Neuroptera,0.0,0.0,0.0,39,True
lora_linear_probe,2,Orthoptera,0.0,0.0,0.0,3,False
lora_linear_probe,2,Plecoptera,0.0,0.0,0.0,18,True
lora_linear_probe,2,Raphidioptera,0.0,0.0,0.0,0,False
lora_linear_probe,2,Trichoptera,0.0,0.0,0.0,28,True
