class,support_total,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
Araneae,564,0.9784,0.01,0.9911,0.0082,0.9663,0.024
Blattodea,23,0.8855,0.0742,0.9524,0.0825,0.8274,0.0676
Coleoptera,1143,0.8558,0.0121,0.8606,0.0199,0.8512,0.0076
Diptera,31913,0.9864,0.0001,0.9866,0.001,0.9863,0.0009
Hemiptera,775,0.8564,0.018,0.8952,0.0124,0.822,0.0438
Hymenoptera,3326,0.9275,0.0031,0.9171,0.0046,0.9381,0.0079
Ixodida,0,0.0,0.0,0.0,0.0,0.0,0.0
Lepidoptera,1744,0.9754,0.0035,0.9716,0.0021,0.9794,0.0052
Mecoptera,34,0.4667,0.1014,0.5726,0.1829,0.4368,0.1561
Neuroptera,115,0.6634,0.0277,0.6643,0.0568,0.6701,0.0811
Orthoptera,8,0.9333,0.1155,1.0,0.0,0.8889,0.1924
Plecoptera,54,0.8497,0.0542,0.814,0.0556,0.8889,0.0556
Raphidioptera,0,0.0,0.0,0.0,0.0,0.0,0.0
Trichoptera,85,0.8674,0.0416,0.8376,0.1001,0.9167,0.1148
