Order,n,BioCLIP v1 F1,BioCLIP 2 F1
Araneae,564,0.9614 ± 0.0173,0.9829 ± 0.0070
Blattodea,23,0.8746 ± 0.0522,0.9107 ± 0.0778
Coleoptera,1143,0.7117 ± 0.0235,0.8499 ± 0.0109
Diptera,31914,0.9746 ± 0.0008,0.9847 ± 0.0008
Hemiptera,775,0.5953 ± 0.0188,0.8130 ± 0.0234
Hymenoptera,3326,0.8962 ± 0.0052,0.9351 ± 0.0038
Ixodida,1,—,—
Lepidoptera,1744,0.9747 ± 0.0023,0.9855 ± 0.0041
Mecoptera,34,0.2534 ± 0.0759,0.4827 ± 0.1637
Neuroptera,115,0.4206 ± 0.0836,0.5976 ± 0.0917
Orthoptera,8,1.0000 ± 0.0000,1.0000 ± 0.0000
Plecoptera,54,0.9231 ± 0.0430,0.9170 ± 0.0072
Raphidioptera,2,0.0000 ± 0.0000,0.0000 ± 0.0000
Trichoptera,85,0.9230 ± 0.0204,0.9122 ± 0.0180
,,,
Macro avg (all 14),39788,0.7314 ± 0.0047,0.7978 ± 0.0101
Macro avg (n ≥ 50),39720,0.8201 ± 0.0105,0.8864 ± 0.0086
Weighted avg,39788,0.9504 ± 0.0015,0.9715 ± 0.0013
