class,support_total,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
Araneae,564,0.972,0.0099,0.9855,0.0058,0.9592,0.024
Blattodea,23,0.891,0.0278,0.9167,0.0722,0.869,0.0103
Coleoptera,1143,0.8604,0.0029,0.8805,0.0142,0.8416,0.0175
Diptera,31913,0.9864,0.0002,0.9843,0.0009,0.9885,0.0011
Hemiptera,775,0.8562,0.007,0.8849,0.0167,0.8297,0.018
Hymenoptera,3326,0.9299,0.0034,0.9363,0.0046,0.9236,0.01
Ixodida,0,0.0,0.0,0.0,0.0,0.0,0.0
Lepidoptera,1744,0.9755,0.005,0.9706,0.0109,0.9805,0.004
Mecoptera,34,0.5409,0.0174,0.6048,0.1072,0.5,0.0455
Neuroptera,115,0.7001,0.0225,0.688,0.0594,0.7224,0.088
Orthoptera,8,0.9333,0.1155,1.0,0.0,0.8889,0.1924
Plecoptera,54,0.8575,0.0988,0.8614,0.081,0.8704,0.1786
Raphidioptera,0,0.0,0.0,0.0,0.0,0.0,0.0
Trichoptera,85,0.8352,0.0199,0.8223,0.081,0.8579,0.0727
