method,fold,class,precision,recall,f1,support
resnet50_finetuned,0,Araneae,0.989,0.9574,0.973,188
resnet50_finetuned,0,Blattodea,0.875,0.875,0.875,8
resnet50_finetuned,0,Coleoptera,0.8968,0.8215,0.8575,381
resnet50_finetuned,0,Diptera,0.9838,0.9885,0.9862,10638
resnet50_finetuned,0,Hemiptera,0.8932,0.8101,0.8496,258
resnet50_finetuned,0,Hymenoptera,0.9317,0.9351,0.9334,1109
resnet50_finetuned,0,Ixodida,0.0,0.0,0.0,0
resnet50_finetuned,0,Lepidoptera,0.9581,0.9828,0.9703,581
resnet50_finetuned,0,Mecoptera,0.6,0.5,0.5455,12
resnet50_finetuned,0,Neuroptera,0.7297,0.7105,0.72,38
resnet50_finetuned,0,Orthoptera,1.0,0.6667,0.8,3
resnet50_finetuned,0,Plecoptera,0.8571,0.6667,0.75,18
resnet50_finetuned,0,Raphidioptera,0.0,0.0,0.0,0
resnet50_finetuned,0,Trichoptera,0.8571,0.8571,0.8571,28
resnet50_finetuned,1,Araneae,0.9888,0.9362,0.9617,188
resnet50_finetuned,1,Blattodea,0.875,0.875,0.875,8
resnet50_finetuned,1,Coleoptera,0.871,0.8504,0.8606,381
resnet50_finetuned,1,Diptera,0.9854,0.9874,0.9864,10638
resnet50_finetuned,1,Hemiptera,0.8656,0.8456,0.8555,259
resnet50_finetuned,1,Hymenoptera,0.9364,0.917,0.9266,1108
resnet50_finetuned,1,Ixodida,0.0,0.0,0.0,0
resnet50_finetuned,1,Lepidoptera,0.9759,0.9759,0.9759,581
resnet50_finetuned,1,Mecoptera,0.5,0.5455,0.5217,11
resnet50_finetuned,1,Neuroptera,0.62,0.8158,0.7045,38
resnet50_finetuned,1,Orthoptera,1.0,1.0,1.0,2
resnet50_finetuned,1,Plecoptera,0.7826,1.0,0.878,18
resnet50_finetuned,1,Raphidioptera,0.0,0.0,0.0,0
resnet50_finetuned,1,Trichoptera,0.7297,0.931,0.8182,29
resnet50_finetuned,2,Araneae,0.9788,0.984,0.9814,188
resnet50_finetuned,2,Blattodea,1.0,0.8571,0.9231,7
resnet50_finetuned,2,Coleoptera,0.8737,0.853,0.8632,381
resnet50_finetuned,2,Diptera,0.9838,0.9895,0.9866,10637
resnet50_finetuned,2,Hemiptera,0.8958,0.8333,0.8635,258
resnet50_finetuned,2,Hymenoptera,0.9409,0.9188,0.9297,1109
resnet50_finetuned,2,Ixodida,0.0,0.0,0.0,0
resnet50_finetuned,2,Lepidoptera,0.9778,0.9828,0.9803,582
resnet50_finetuned,2,Mecoptera,0.7143,0.4545,0.5556,11
resnet50_finetuned,2,Neuroptera,0.7143,0.641,0.6757,39
resnet50_finetuned,2,Orthoptera,1.0,1.0,1.0,3
resnet50_finetuned,2,Plecoptera,0.9444,0.9444,0.9444,18
resnet50_finetuned,2,Raphidioptera,0.0,0.0,0.0,0
resnet50_finetuned,2,Trichoptera,0.88,0.7857,0.8302,28
