config,n_slots,fold,class,precision,recall,f1,support
baseline_zeroshot,0,0,Araneae,0.963855421686747,0.851063829787234,0.903954802259887,188.0
baseline_zeroshot,0,0,Blattodea,1.0,0.2857142857142857,0.4444444444444444,7.0
baseline_zeroshot,0,0,Coleoptera,0.0,0.0,0.0,381.0
baseline_zeroshot,0,0,Diptera,0.0,0.0,0.0,10638.0
baseline_zeroshot,0,0,Hemiptera,0.0,0.0,0.0,258.0
baseline_zeroshot,0,0,Hymenoptera,0.0,0.0,0.0,1109.0
baseline_zeroshot,0,0,Ixodida,0.0,0.0,0.0,0.0
baseline_zeroshot,0,0,Lepidoptera,1.0,0.003436426116838488,0.00684931506849315,582.0
baseline_zeroshot,0,0,Mecoptera,0.0,0.0,0.0,11.0
baseline_zeroshot,0,0,Neuroptera,0.0,0.0,0.0,39.0
baseline_zeroshot,0,0,Orthoptera,0.036585365853658534,1.0,0.07058823529411765,3.0
baseline_zeroshot,0,0,Plecoptera,0.00141287284144427,1.0,0.0028217588963787427,18.0
baseline_zeroshot,0,0,Raphidioptera,0.0,0.0,0.0,1.0
baseline_zeroshot,0,0,Trichoptera,0.24528301886792453,0.4642857142857143,0.32098765432098764,28.0
baseline_zeroshot,0,1,Araneae,0.9864864864864865,0.776595744680851,0.8690476190476191,188.0
baseline_zeroshot,0,1,Blattodea,0.0,0.0,0.0,8.0
baseline_zeroshot,0,1,Coleoptera,0.0,0.0,0.0,381.0
baseline_zeroshot,0,1,Diptera,0.0,0.0,0.0,10638.0
baseline_zeroshot,0,1,Hemiptera,0.0,0.0,0.0,258.0
baseline_zeroshot,0,1,Hymenoptera,0.0,0.0,0.0,1109.0
baseline_zeroshot,0,1,Ixodida,0.02040816326530612,1.0,0.04,1.0
baseline_zeroshot,0,1,Lepidoptera,0.0,0.0,0.0,581.0
baseline_zeroshot,0,1,Mecoptera,0.02247191011235955,0.3333333333333333,0.042105263157894736,12.0
baseline_zeroshot,0,1,Neuroptera,0.0,0.0,0.0,38.0
baseline_zeroshot,0,1,Orthoptera,0.03488372093023256,1.0,0.06741573033707865,3.0
baseline_zeroshot,0,1,Plecoptera,0.001411764705882353,1.0,0.002819548872180451,18.0
